@id,@type,rdfs:label
ndc9:022.5,skos:Concept,写本．刊本．造本--図書の形態．装丁：巻子本，折本，旋風葉，胡蝶装
ndc9:022.57,skos:Concept,写本．刊本．造本--図書の形態．装丁：巻子本，折本，旋風葉，胡蝶装--装本．ブックデザイン
ndc9:022.6,skos:Concept,写本．刊本．造本--図書の材料：紙，墨，インキ
ndc9:022.68,skos:Concept,写本．刊本．造本--図書の材料：紙，墨，インキ--図書の付属品：帙，草子挟，筒，筥
ndc9:022.7,skos:Concept,写本．刊本．造本--印刷
ndc9:022.8,skos:Concept,写本．刊本．造本--製本：製本史，製本材料，製本技術，修理技術，製本機械，製本器具
ndc9:022.809,skos:Concept,写本．刊本．造本--製本：製本史，製本材料，製本技術，修理技術，製本機械，製本器具--製本業
ndc9:023.8,skos:Concept,出版--出版と自由．出版倫理．発禁本．検閲
ndc9:023.89,skos:Concept,出版--自費出版
ndc9:023.9,skos:Concept,出版--納本制
ndc9:024.8,skos:Concept,図書の販売--古本．古書店
ndc9:024.9,skos:Concept,図書の販売--図書の収集．愛書家．蔵書記．蔵書票．蔵書印譜
ndc9:025.1,skos:Concept,（一般書誌．全国書誌--日本全国書誌）
ndc9:025.8,skos:Concept,一般書誌．全国書誌--地方書誌．郷土資料目録
ndc9:025.9,skos:Concept,一般書誌．全国書誌--書店出版目録．古本販売目録
ndc9:026.2,skos:Concept,稀書目録．善本目録--古写本．自筆本
ndc9:026.3,skos:Concept,稀書目録．善本目録--古刊本
ndc9:026.4,skos:Concept,稀書目録．善本目録--初版本．限定本
ndc9:026.5,skos:Concept,稀書目録．善本目録--手沢本．書入本
ndc9:026.7,skos:Concept,稀書目録．善本目録--珍奇本：珍奇材料本，珍奇挿画本，珍奇装丁本，豆本
ndc9:026.9,skos:Concept,稀書目録．善本目録--刊本目録＜一般＞
ndc9:027.1,skos:Concept,特種目録--勅版目録．官版目録．藩版目録
ndc9:027.2,skos:Concept,特種目録--政府出版物および団体出版物目録
ndc9:027.3,skos:Concept,特種目録--諸家著述目録
ndc9:027.32,skos:Concept,特種目録--諸家著述目録--地方別著述目録．郷土人著述目録
ndc9:027.33,skos:Concept,特種目録--諸家著述目録--階層別著述目録．集団別著述目録
ndc9:027.34,skos:Concept,特種目録--翻訳書目録
ndc9:027.35,skos:Concept,特種目録--無著者名および匿名著作目録
ndc9:027.38,skos:Concept,特種目録--個人著述目録．個人著作年譜
